"entidad","municipio","clave_1","clave_2","razon_social","ubicacion","colonia","cp","telefono","correo","inicio_operaciones","magna","premium","diesel","latitude","longitude"
"DISTRITO FEDERAL","IZTAPALAPA","E02799",107968,"SERVICIO MARVIC, SA DE CV","CALZADA IGNACIO ZARAGOZA NO. 1350","Juan Escutia","09100","57636273","e02799@prodigy.net.mx","22-Jun-98","S","S","S",19.3966314,-99.0549637
"DISTRITO FEDERAL","IZTAPALAPA","E02829",107938,"SERVICIO MORENO PLUTARCO, S.A.","AV. PLUTARCO ELIAS CALLES NO. 1918","Banjidal","09450","55390134","sermossa9@prodigy.net.mx","17-Oct-94","S","S","N",19.3927443,-99.1034024
"DISTRITO FEDERAL","IZTAPALAPA","E02854",107950,"ESTACION DE SERVICIO Y GASOLINERIA IGNACIO ZARAGOZA, SA DE CV","CALZADA IGNACIO ZARAGOZA NO. 2583","SANTA MARTHA ACATITLA","09510","57454521","pacocalle@yahoo.com","25-Aug-93","S","S","S",19.364869,-99.0064829
"DISTRITO FEDERAL","IZTAPALAPA","E02972",107934,"SERVICIO TERREMOTES, SA DE CV","CALZADA ERMITA IXTAPALAPA NO. 2120","San Miguel","09360","56125561","ste2972@gestrella.com.mx","9-Aug-93","S","S","N",19.3488676,-99.0700261
"DISTRITO FEDERAL","IZTAPALAPA","E02996",107933,"OPERADORA DE ESTACIONES DE SERVICIO 20-20, S.A. DE C.V.","CALZADA JAVIER ROJO GOMEZ NO. 492","Guadalupe del Moral","09300","52-62-38-00","controlesvolumetricos@hidrosina.com.mx","11-Feb-94","S","S","S",19.3743589,-99.0787184
"DISTRITO FEDERAL","IZTAPALAPA","E03082",107898,"SERVICIO APATLACO, S.A. DE C.V.","AV. APATLACO NO.307","El Triunfo","09430","56331039","sle3417@yahoo.com.mx","25-Jul-97","S","S","N",19.3817438,-99.1143469
"DISTRITO FEDERAL","IZTAPALAPA","E03317",107910,"CONSORCIO GASOLINERO PLUS, SA DE CV","AUTOPISTA MEXICO-PUEBLA KM. 17.5 ","SANTIAGO ACAHUALTEPEC","09600","52623827","controlesvolumetricos@hidrosina.com.mx","23-Feb-98","S","S","S",19.3549246,-98.978582
"DISTRITO FEDERAL","IZTAPALAPA","E03381",107960,"SAN LORENZO TEZONCO, S.A. DE C.V.","CALZADA SAN LORENZO NO. 1147","Cerro de La Estrella","09860","54-26-34-17","sanlorenzotezonco@hotmail.com","19-Dec-95","S","S","S",19.3231318,-99.0758814
"DISTRITO FEDERAL","IZTAPALAPA","E03417",107897,"SERVICIO LOMAS ESTRELLA, S.A. DE C.V.","AV. TLAHUAC NO. 4344","LOMAS ESTRELLA","09890","56563684","sle3417@yahoo.com.mx","28-Jun-93","S","S","S",19.3217721,-99.0937984
"DISTRITO FEDERAL","IZTAPALAPA","E03422",107949,"GASOLINERA ALFA, SA DE CV","CALZADA IGNACIO ZARAGOZA NO. 2370","SANTA MARTHA ACATITLA","09510","5744-20-60","pacocalle@yahoo.com","4-Mar-93","S","S","N",19.364869,-99.0064829
"DISTRITO FEDERAL","IZTAPALAPA","E03562",107887,"RIO TUERTO, S.A. DE C.V.","PROLONGACION ARNESES NO. 549","SAN FRANCISCO CULHUACAN","09800","56-08-35-36","sirago@hotmail.com","30-Apr-93","S","S","S",19.3497465,-99.1108115
"DISTRITO FEDERAL","IZTAPALAPA","E03651",107947,"SERVICIOS SANTA MARIA,S.DE.R.L.DE C.V.","AV. GUELATAO NO. 220","Ejidal Santa Maria Aztahuacan","09500","5693-36-64","pacocalle@yahoo.com","4-Mar-93","S","S","N",19.35,-99.05
"DISTRITO FEDERAL","IZTAPALAPA","E03685",107943,"GAS ABASTO, S.A. DE C.V.","CANAL DEL TEZONTLE NO. 2","EJIDO DEL MORAL","09030","56942577","esgasaba@hotmail.com","8-Feb-93","S","S","S",20.895896,-100.512783
"DISTRITO FEDERAL","IZTAPALAPA","E03741",107886,"SERVICIO EL ESCUDO, S.A. DE C.V.","PROLONGACION ARNESES NO. 550","SAN ANTONIO CULHUACAN","09800","56-08-17-86","SIRAGO2831@HOTMAIL.COM","30-Apr-93","S","S","S",19.3497465,-99.1108115
"DISTRITO FEDERAL","IZTAPALAPA","E03990",107929,"OPERADORA DE ESTACIONES DE SERVICIO 20-20, S.A. DE C.V.","CALZADA ERMITA IZTAPALAPA NO. 2710","Santa Cruz Meyehualco","09290","52-62-38-00","controlesvolumetricos@hidrosina.com.mx","17-Jan-94","S","S","S",19.3433154,-99.037639
"DISTRITO FEDERAL","IZTAPALAPA","E04369",107971,"REFACCIONES MODERNAS ROMERO HERMANOS, S.A. DE C.V.","AV. ERMITA IZTAPALAPA NO. 4020","PARAJE ZACATEPEC","09560","56915397","refac.modernas@gmail.com","7-Dec-95","S","N","S",19.3375358,-99.0027735
"DISTRITO FEDERAL","IZTAPALAPA","E04484",107963,"SUPER SERVICIO PERIFERICO, S.A. DE C.V.","MICHOACAN NO.20 LOTE B FRACC.SERVICIOS TECNOLOGICO","RENOVACION","09209","58046240","tony@fortes.com.mx","2-Apr-96","S","S","S",24.1393045,-110.3324163
"DISTRITO FEDERAL","IZTAPALAPA","E04497",107927,"OPERADORA ERMITA, S.A. DE C.V.","CALZADA ERMITA IZTAPALAPA NO. 205","El Santuario","09820","5556971544","es4497@gasfar.com;marcoschalla@gasfar.com","1-Jun-99","S","S","S",19.3560616,-99.1062339
"DISTRITO FEDERAL","IZTAPALAPA","E04717",107965,"SUPER SERVICIO DIAMANTE, SA DE CV","TOLENTINO NO. 10","Casa Blanca","09860","52460229","eccababie@yahoo.com.mx; jp@grupogasoleo.com","27-Feb-97","S","S","S",31.5959938,-106.4278825
"DISTRITO FEDERAL","IZTAPALAPA","E04737",107881,"PUERTO ALISAS, S.A. DE C.V","CALLE TIANGUIS NO. 16","PASEO DE CHURUBUSCO","09030","56077269","sirago2831@hotmail.com","30-Jun-97","S","S","N",25.7022421,-100.365177
"DISTRITO FEDERAL","IZTAPALAPA","E04738",107923,"CONSORCIO GASOLINERA CENTRAL IV,S.A. DE C.V.","AV. JAVIER ROJO GOMEZ NO. 647","PASEOS DE CHURUBUSCO","09030","5694-0539","centraliv@yahoo.com.mx","23-Mar-97","S","S","S",19.3742818,-99.078749
"DISTRITO FEDERAL","IZTAPALAPA","E04806",107958,"JAPI, SA DE CV","AV. IGNACIO ZARAGOZA NO. 1900","Juan Escutia","09100","57-45-53-37","serchs66@hotmail.com","30-Jun-97","S","S","N",19.3903645,-99.0441327
"DISTRITO FEDERAL","IZTAPALAPA","E04842",107874,"JU-VITA, SA DE CV","AV. JAVIER ROJO GOMEZ NO. 531","PASEO DE CHURUBUSCO","09030","56942730 o 56942767","ju-vita@meigascorp.com","20-Oct-97","S","S","S",19.3982508,-99.0834146
"DISTRITO FEDERAL","IZTAPALAPA","E04922",107908,"LA VICENTINA, SA DE CV","AV. JALISCO NO. 75","Leyes de Reforma","09310","56140057 / 56140058","vicentina_sa@yahoo.com.mx","21-Jan-98","S","S","N",19.3686193,-99.0740534
"DISTRITO FEDERAL","IZTAPALAPA","E04930",107879,"PUERTO ALISAS, SA DE CV","MARCELINO BUENDIA NO.92 ","PASEO DE CHURUBUSCO","09030","56077269","sirago2831@hotmail.com","13-Mar-98","N","N","S",19.3981709,-99.0833468
"DISTRITO FEDERAL","IZTAPALAPA","E04934",107964,"SERVICIO MIRLO, SA DE CV","AV. CANAL DE TEZONTLE NO. 4","Leyes de Reforma","09310","56940220","serviciomirlo@prodigy.net.mx","19-Jan-98","S","S","N",19.3827694,-99.0874258
"DISTRITO FEDERAL","IZTAPALAPA","E05026",108363,"AGUILAR CORDERO ERNESTO (SU SUCESION)","CALZADA IGNACIO ZARAGOZA NO. 2275","El Paraiso","09230","","","3-Apr-98","S","S","S",19.382105,-99.0300434
"DISTRITO FEDERAL","IZTAPALAPA","E05035",108364,"SERVICIO LEYES DE REFORMA, SA DE CV","AV. CANAL DE TEZONTLE NO. 2623","LEYES DE REFORMA","09310","55-81-98-97","liesyeza@yahoo.com","4-May-98","S","S","N",19.3843598,-99.0942592
"DISTRITO FEDERAL","IZTAPALAPA","E05043",108481,"INMOBILIARIA AJA GOMEZ, SA DE CV","EJE 6 SUR NO. 955","BARRIO SAN JOSE","09000","56081786 / 5685-2269","uribe-5043@hotmail.com","14-Oct-98","S","S","N",19.3988724,-99.0827725
"DISTRITO FEDERAL","IZTAPALAPA","E05139",108480,"SERVICIO GARAY, SA DE CV","CALLE BENITO JUAREZ NO. 1","PRESIDENTES DE MEXICO","09700","56 91 88 77","es5139@corpogas.com.mx,gerardo@corpogas.com.mx,fel","24-Sep-98","S","S","S",19.3800949,-99.2049788
"DISTRITO FEDERAL","IZTAPALAPA","E05174",108478,"SERVICIO TULCINGO, S.A. DE C.V.","AV. TLAHUAC NO. 1742","San Lorenzo","09000","58458202","silvaf_paola@terra.com","20-Oct-98","S","S","S",19.3084417,-99.0684593
"DISTRITO FEDERAL","IZTAPALAPA","E05239",108698,"DISTRIBUIDORA ETHEL, S.A. DE C.V.","Eje 5 Sur No. 44","Paseos de Churubusco","09030","56949076","es5239@hotmail.com","12-Apr-99","S","S","S",19.3802609,-99.1132983
"DISTRITO FEDERAL","IZTAPALAPA","E05304",108697,"CORPORACION GASOLINERA MILLENIUM, S.A. DE C.V.","CALZADA ERMITA IZTAPALAPA NO. 3389","SANTA MARIA AZTAHUACAN","09500","52623800","controlesvolumetricos@hidrosina.com.mx","30-Mar-99","S","S","N",19.3436735,-99.0353343
"DISTRITO FEDERAL","IZTAPALAPA","E05349",108703,"ESTACIONES ECOLOGICAS DE SERVICIOS, S.A. DE C.V.","CALZADA IGNACIO ZARAGOZA NO. 1535","TEPACALTES","09210","43263224","oscar@estacioneses.com.mx","28-Jul-99","S","S","S",19.3928626,-99.0485862
"DISTRITO FEDERAL","IZTAPALAPA","E05537",109027,"PETROMAX, S.A. DE C.V.","Av. San Lorenzo No. 429","San Juan Xalpa","09850","81306856","itza.terrazas@petro-7.com.mx","14-Mar-00","S","S","N",19.3248436,-99.0753611
"DISTRITO FEDERAL","IZTAPALAPA","E05628",109231,"GASOLINERAS GRUPO MEXICANO, SA DE CV","Av. Javier Rojo Gomez No. 482","Guadalupe Moral","09300","30031200","ebasurto@ggmgasolineras.com","23-Nov-00","S","S","S",19.374364,-99.0787165
"DISTRITO FEDERAL","IZTAPALAPA","E08248",112368,"GASOLINERIA PAGA, S.A. DE C.V.","IGNACIO ZARAGOZA NO.2608","Santa Martha Acatitla","09510","5557383150","gasolineriapaga@hotmail.com","9-Jan-07","S","S","N",19.3903244,-99.0440659
"DISTRITO FEDERAL","IZTAPALAPA","E08445",112565,"SERVICIO GEYSER, S.A. DE C.V.","FRANCISCO VILLA NO. 19","SANTA MARIA AZTAHUACAN","09570","15463823","es8445@corpogas.com.mx,gerardo@corpogas.com.mx,fel","17-Mar-06","S","S","N",19.356441,-99.0357098
"DISTRITO FEDERAL","IZTAPALAPA","E08921",113041,"INMOBILIARIA TERMINAL DE CARGA ORIENTE S.A. DE C.V","AV. TRANSPORTISTAS NO.15 CONDOMINIO ROJO,LTS. 1,2,3 Y 4.","Alvaro Obregon","09230","57735897","rocastellanos@terra.com.mx","20-Sep-07","S","S","S",19.3798251,-99.0339316
"DISTRITO FEDERAL","IZTAPALAPA","E09545",113665,"ABASTECEDORA SUZUKA, S.A. DE C.V.","Av. Leyes de Reforma No. 1","Leyes de Reforma","09310","56004773","abastecedorasuzuka@prodigy.net.mx","9-Jul-09","S","S","S",19.3767108,-99.0636511
"DISTRITO FEDERAL","IZTAPALAPA","E10817",114937,"SERVICIO LOS TRES COMPADRES, S.A. DE C.V.","Av. Leyes de Reforma NO. 57","Leyes de Reforma","09310","56 00 70 41","lostrescompadres@eninfinitum.com","24-Jan-12","S","S","S",19.3767108,-99.0636511
"DISTRITO FEDERAL","IZTAPALAPA","E10900",115020,"COMBUSTIBLES ERMITA, S.A. DE C.V.","AV. JAVIER ROJO GOMEZ N0. 311","Guadalupe del Moral","09300","56 85 17 11 - 26 36","combustiblesermita@hotmail.com","5-Oct-12","S","S","S",19.3733665,-99.0795476
"DISTRITO FEDERAL","IZTAPALAPA","J01169",1400115,"GRUPO COLLADO, S.A. DE C.V.","GAVILAN NO. 200","GUADALUPE DEL MORAL","09300","58042333","rafael.farfan@gcollado.com","20-Dec-95","S","S","S",19.3618582,-99.0769296
"DISTRITO FEDERAL","IZTAPALAPA","J01279",1400395,"RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL","Braulio Maldonado No. 100","Consejo Agrarista Mexicano","09760","57053616","sserrano@rtp.gob.mx","15-Dec-04","N","N","S",19.3265619,-99.0591403
"DISTRITO FEDERAL","LA MAGDALENA CONTRERAS","E02838",107988,"FRANCISCO GUERRERO ORTEGA (SU SUCESION)","AV. SAN JERONIMO NO. 914","San Jeronimo Lidice","10200","55-95-12-55","estacion2838@hotmail.com","22-Dec-99","S","S","N",19.3245357,-99.2266294
"DISTRITO FEDERAL","LA MAGDALENA CONTRERAS","E03618",108051,"GRUPO FRABA, SA DE CV","AV. LUIS CABRERA NO. 480","San Francisco","10810","55686903","gfraba@prodigy.net.mx","7-Dec-94","S","S","N",19.3762942,-99.1748178
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00008",108035,"CONSORCIO GASOLINERO PLUS,S.A. DE C.V.","ITURRIGARAY NO. 116 Y VIRREYES","Lomas de Chapultepec","11000","526233827","controlesvolumetricos@hidrosina.com.mx,","23-Jul-92","S","S","N",19.4214672,-99.2069875
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00017",108169,"CONSORCIO GASOLINERO PLUS, SA DE CV","AV. RIO SAN JUAQUIN NO. 5976 ESQ. LAGO GINEBRA","Popo","11480","52623827","controlesvolumetricos@hidrosina.com.mx","23-Dec-96","S","S","N",19.4453957,-99.1966578
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00022",108187,"SERVICIO NAVARRO, S.A. DE C.V.","BOULEVARD MANUEL AVILA CAMACHO NO. 103","LOMAS DE CHAPULTEPEC","11000","52033666","navarro-vol@saigsa.com.mx","26-Feb-01","S","S","N",19.4581703,-99.2205235
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00027",108171,"SERVICIO ANZURES, S.A. DE C.V.","BAHIA DE SANTA BARBARA NO. 182","VERONICA ANZURES","11300","52-60-62-93","0027@prodigy.net.mx","23-Jun-93","S","S","N",19.4347841,-99.1720863
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00101",108197,"INGRE COMBUSTIBLES, S.A. DE C.V.","GOLFO DE RIGA NO. 7","Tacuba","11410","53994698","ingrecombustibles@yahoo.com.mx","3-Apr-96","S","S","S",19.4549178,-99.1877107
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00141",108240,"SERVICIO PATZCUARO, S.A. DE C.V.","LAGUNA DE TERMINOS NO. 516","Anahuac","11320","52604813   52607234","german01@prodigy.net.mx","9-May-97","S","S","N",19.442074,-99.1720545
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00144",108134,"SERVICIOS AVENIDA, SA DE CV","AV. MARINA NACIONAL NO. 204","Anahuac","11320","52601448","serviciosavenida@hotmail.com","3-Nov-94","S","S","N",19.3049765,-99.1100019
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00146",108185,"GASOTANNY, S.A. DE C.V.","CALZADA LEGARIA NO. 211","Ampliacion Torre Blanca","11270","53 86 27 12","gslegaria@yahoo.com.mx","5-Jan-00","S","S","N",19.4537972,-99.1983072
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00152",108022,"CONSORCIO GASOLINERO PLUS, SA DE CV","PROTACIO TAGLE NO. 2","San Miguel Chapultepec","11850","52623827","controlesvolumetricos@hidrosina.com.mx","23-Feb-98","S","S","N",19.4129207,-99.1836056
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00160",108007,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.","JOSE MARTI NO. 210 Y PROSPERIDAD","Escandon","11800","52623827","controlesvolumetricos@hidrosina.com.mx","16-Feb-99","S","S","N",19.4032385,-99.1748496
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00161",108023,"CONSORCIO GASOLINERO PLUS,S.A. DE C.V.","CARLOS B. ZETINA NO. 117 Y JOSE MARTI","Escandon","11800","52623827","controlesvolumetricos@hidrosina.com.mx","25-Nov-98","S","S","N",19.4022076,-99.1777428
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00194",108008,"GASOLINERIA LOMALINDA 0194, S.A. DE C.V.","PASEO DE LA REFORMA NO. 1005","Lomas de Chapultepec","11000","55-20-69-52","alfredoreguero@prodigy.net.mx","15-May-96","S","S","N",19.4003344,-99.2334091
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00197",108059,"SERVICIOS FELUSA, SA","AV. REVOLUCION NO. 267","Tacubaya","11870","55167386",".","4-Nov-94","S","S","N",19.3861834,-99.1864357
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00203",108196,"SERVICIO EL PRIETO, S. A.","SAN BARTOLO NAUCALPAN NO. 377","San Lorenzo Tlaltenango","11210","55768904 y 55764571","servprieto@hotmail.com","11-Oct-97","S","S","N",19.4623585,-99.2125367
"DISTRITO FEDERAL","MIGUEL HIDALGO","E00306",108198,"HIDROSINA PLUS, S.A DE C.V.","MAR MEDITERRANEO Y OKOSTSK","Tacuba","11410","52623800","controlesvolumetricos@hidrosina.com.mx","10-Feb-99","S","N","S",19.4593595,-99.1892588
"DISTRITO FEDERAL","MIGUEL HIDALGO","E02546",107996,"OBSERVATORIO, SA","AV. OBSERVATORIO NO. 198","Daniel Garza","11830","55159267","observatorio77@hotmail.com","12-Feb-93","S","S","N",19.4030697,-99.1972232
"DISTRITO FEDERAL","MIGUEL HIDALGO","E02548",108040,"SERVICIO ARENAS, S.A.DE C.V.","PARQUE LIRA NO.137","San Miguel Chapultepec","11850","55164406","arenas@meigascorp.com","27-Oct-93","S","S","S",19.41066,-99.19082
"DISTRITO FEDERAL","MIGUEL HIDALGO","E02839",108212,"APROVECHAMIENTOS Y SERVICIOS, S. A. DE C. V.","PRESA DON MARTI NO. 71","Irrigacion","11500","55 572951","estacion2839@gmail.com","13-Mar-98","S","S","N",19.4414443,-99.2097433
"DISTRITO FEDERAL","MIGUEL HIDALGO","E03002",108159,"CONSORCIO GASOLINERO PLUS, SA DE CV","LAGO ARGENTINA NO. 7","ARGENTINA","11270","52623827","controlesvolumetricos@hidrosina.com.mx","1-Aug-97","S","S","N",19.4511889,-99.1909262
"DISTRITO FEDERAL","MIGUEL HIDALGO","E03190",108224,"SERVICIO LOMAS DE SOTELO, S.A. DE C.V.","AV. LOMAS DE SOTELO NO. 1103","Lomas de Sotelo","11200","52460229","eccababie@yahoo.com.mx; jp@grupogasoleo.com","27-Jul-92","S","S","N",19.4462332,-99.2160962
"DISTRITO FEDERAL","MIGUEL HIDALGO","E03208",108157,"SERVICIO CONSCRIPTO, S.A. DE C.V.","AV. DEL CONSCRIPTO NO. 1","MANUEL AVILA CAMACHO","11610","52033666","conscripto-vol@saigsa.com.mx","27-Jul-98","S","S","N",19.4402783,-99.2254422
"DISTRITO FEDERAL","MIGUEL HIDALGO","E03253",108193,"GASOSET, S.A. DE C.V.","AV. MARINA NACIONAL NO. 191","Ahuehuetes","11410","53-99-74-42","gasoset@yahoo.com.mx","25-Nov-96","S","S","N",19.5334606,-99.0970349
"DISTRITO FEDERAL","MIGUEL HIDALGO","E04765",108072,"SERVICIO PERIVIA, SA DE CV","CALLE MANUEL DUBLAN NO. 53","Tacubaya","11870","52716287 - 52724968","servicio_perivia@yahoo.com.mx","17-Apr-98","S","S","S",19.4162227,-99.1773241
"DISTRITO FEDERAL","MIGUEL HIDALGO","E05020",108126,"SERVICIO MOLIERE, SA DE CV","PRESIDENTE MAZARIK 486, ESQ, MOLIERE","Polanco Chapultepec","11560","52808589 y 52811508","serviciomoliere@prodigy.net.mx","8-Apr-98","S","S","N",19.4166667,-99.1833333
"DISTRITO FEDERAL","MIGUEL HIDALGO","E05536",109028,"GRUPO DISTRIBUIDOR ASOCIADO DE ENERGETICOS, S.A. DE C.V.","AV. PATRIOTISMO NO. 191","Escandon","11800","52714679","grupo_daesa@yahoo.com","13-Mar-00","S","S","N",19.397505,-99.1807015
"DISTRITO FEDERAL","MIGUEL HIDALGO","E07267",111387,"GRUPO EJERCITO, S.A. DE C.V.","AV. EJERCITO NACIONAL NO. 125","Veronica Anzures","11300","5552601348","es7267@gasfar.com;marcoschalla@gasfar.com","20-Oct-03","S","S","N",19.4368994,-99.1807068
"DISTRITO FEDERAL","MIGUEL HIDALGO","E08091",112211,"OPERADORA MEXICO TACUBA, S.A. DE C.V.","CALZADA MEXICO TACUBA NO. 610","Popotla","11400","50-49-02-06","tacuba@grupocyma.com.mx","6-May-05","S","S","S",19.4573612,-99.1823694
"DISTRITO FEDERAL","MIGUEL HIDALGO","E11534",115654,"ESTACION DE SERVICIO GAALBO, S.A. DE C.V.","MARIANO ESCOBEDO NUM. 177","ANAHUAC","11320","52500451","gerencia@gasolineragaalbo.com","29-Apr-13","S","S","S",19.4433789,-99.1831491
"DISTRITO FEDERAL","MILPA ALTA","E00251",108017,"OLESMA, S.A. DE C.V.","AV. NUEVO LEON NO. 167","Barrio Santa Cruz","12000","58440482","olesma0251@hotmail.com","18-Apr-95","S","N","N",19.1983224,-99.0140636
"DISTRITO FEDERAL","MILPA ALTA","E06076",110141,"INMOBILIARIA MILLOALTO, SA DE CV","BLVD. JOSE LOPEZ PORTILLO NO. 657-B","SAN FRANCISCO TECOXPA","12700","58445890 Y 91","gas-milloalto@hotmail.com","15-Feb-02","S","S","N",19.2004011,-99.0095635
"DISTRITO FEDERAL","TLAHUAC","E00045",107922,"CONSORCIO GASOLINERO PLUS, SA DE CV","CALZADA TULYEHUALCO NO. 5661","Los Olivos","13220","52623827","controlesvolumetricos@hidrosina.com.mx","9-Sep-99","S","S","S",18.8420855,-102.1421671
"DISTRITO FEDERAL","TLAHUAC","E00149",108042,"SERVICIO JAVIER MEZA, SA DE CV","AV. TLAHUAC NO. 8308","Los Reyes Tlahuac","13080","58 42 01 80","hg_mhrc@hotmail.com","16-Dec-95","S","S","S",19.2607153,-99.0093966
"DISTRITO FEDERAL","TLAHUAC","E05084",108365,"ESTEFANIA PEREZ RUIZ","AV. TLAHUAC NO. 5927","LA NOPALERA","09960","","","26-May-98","S","S","S",19.3004489,-99.0499916
"DISTRITO FEDERAL","TLAHUAC","E08231",112351,"SERVICIO CIPRESES S.A DE C.V.","AV. TLAHUAC NO.5243","GRANJAS CABRERA","13230","58451722","es8231@corpogas.com.mx,gerardo@corpogas.com.mx,fel","4-Jan-06","S","S","S",19.2969588,-99.0412398
"DISTRITO FEDERAL","TLALPAN","E00107",108043,"NEPSOL, S.A. DE C.V.","AV. SAN FERNANDO NO. 30","Tlalpan","14000","55-73-25-30","e_tlalpan@yahoo.com.mx","8-Dec-97","S","S","N",19.2950662,-99.1782851
"DISTRITO FEDERAL","TLALPAN","E00116",108044,"UNIDAD LEO, S.A.","INSURGENTES SUR NO. 4267","La Joya","14090","55731266","unidadleosa@yahoo.com","27-Dec-94","S","S","N",19.2810929,-99.1721579
"DISTRITO FEDERAL","TLALPAN","E00210",108050,"ESTACION DE SERVICIO 0210, SA DE CV","CALZADA DE TLALPAN NO. 4342","San Lorenzo Huipulco","14050","55-73-22-10","gaso0210@live.com.mx","6-Jan-93","S","S","S",19.293784,-99.1574972
"DISTRITO FEDERAL","TLALPAN","E02895",108003,"SUPER SERVICIO COAPA, S.A. DE C.V.","AV. ACOXPA NO. 722","Villa Coapa","14390","52-45-02-29","eccababie@yahoo.com.mx; jp@grupogasoleo.com","4-Feb-98","S","S","N",19.290362,-99.1190219
"DISTRITO FEDERAL","TLALPAN","E03383",108047,"VIMA-OL, S.A.","CALLE DE LA CRUZ BLANCA N0 515","SAN MIGUEL TOPILEJO","14000","848 00 63","","22-Jul-98","S","N","S",19.1999418,-99.1483827
"DISTRITO FEDERAL","TLALPAN","E03416",108066,"PIROTE, S.A. DE C.V.","VICENTE GUERRERO NO. 2","CHIMALCOYOTL","14630","55 73 35 01","rodrigovarelaluevano@hotmail.com","10-Feb-94","S","S","S",19.10947,-98.2038764
"DISTRITO FEDERAL","TLALPAN","E03505",108061,"GASOLUB, S.A. DE C.V.","TIZMIN NO. 121","Heroes de Padierna","14200","0181 83352774  Y  75","ofi_mon_terrey@hotmail.com","26-Mar-99","S","S","S",19.2896557,-99.2152899
"DISTRITO FEDERAL","TLALPAN","E04508",108037,"SERVICIOS SAN NICOLAS, S.A. DE C.V.","TETIZ NO. 280","Pedregal de San Nicolas","14100","56314628 /56446545","ssn_tostado@hotmail.com","19-Jun-97","S","N","S",19.2840941,-99.2327679
"DISTRITO FEDERAL","TLALPAN","E07151",111271,"SERVICIO 2M, S.A. DE C.V.","RINCONADA DE URANO NO. 1 Y 17","Lomas del Pedregal","14150","56062944","alejandro.banda@grupojardines.com.mx","29-Sep-03","S","S","N",19.809376,-97.3721651
"DISTRITO FEDERAL","TLALPAN","E07327",111447,"SERVICIO PERIFERICO ARENAL, S.A. DE C.V.","ANILLO PERIFERICO SUR NO. 4991","TEPEPAN","14610","5555 8924","es7327@corpogas.com.mx, gerardo@corpogas.com.mx, f","3-Dec-03","S","S","N",19.2956691,-99.1571682
"DISTRITO FEDERAL","TLALPAN","E07640",111760,"SERVICIO MENA, S.A. DE C.V.","PERIFERICO SUR NO. 4813","Arenal de Guadalupe Tepepan","14610","56535740","serviciomena@hotmail.com","7-Jul-04","S","S","N",19.2956691,-99.1571682
"DISTRITO FEDERAL","TLALPAN","E08291",112411,"SERVICIO ROBLEDO, S.A. DE C.V.","CALZADA DEL HUESO NO. 971","GRANJAS COAPA","14330","56-46-26-84","liesyeza@yahoo.com","4-Jan-06","S","S","N",19.2997945,-99.1059923
"DISTRITO FEDERAL","TLALPAN","E09271",113391,"INN NUEVA YORK, S.A. DE C.V.","BOULEVARD PICACHO AJUSCO NO. 4","JARDINES EN LA MONTANA","14210","56453414 / 56313073","innyork2@prodigy.net.mx","25-Apr-08","S","S","N",19.2998584,-99.209363
"DISTRITO FEDERAL","TLALPAN","E09461",113581,"SERVICIO 5441, S.A. DE C.V.","CARRETERA PICACHO-AJUSCO NO.745","Heroes de Padierna","14200","26151173 / 26154728","servicio_5441@hotmail.com","21-May-08","S","S","S",19.2829259,-99.217118
"DISTRITO FEDERAL","TLALPAN","E09960",114080,"GASOLINERIA MEXICO AJUSCO 1, S.A. DE C.V.","AV. HIDALGO NO. 83","SAN MIGUEL AJUSCO","14700","13154896","es9960@corpogas.com.mx, gerardo@corpogas.com.mx, f","11-Aug-09","S","S","S",19.2153897,-99.1926741
"DISTRITO FEDERAL","TLALPAN","E09969",114089,"OPERADORA SANTA ELENA, S.A. DE C.V.","PROLONGACION GUADALUPE VICTORIA NO. 79","SANTO TOMAS AJUSCO","14710","55112186","es9969@corpogas.com.mx, gerardo@corpogas.com.mx, f","4-Sep-09","S","S","S",19.2293818,-99.2136302
"DISTRITO FEDERAL","TLALPAN","E10274",114394,"SERVICIO GRANSUR, S.A. DE C.V.","BOULEVARD ADOLFO RUIZ CORTINEZ NO. 5499","Cantera Puente de Piedra","14049","51718453","gransur@meigascorp.com","1-Oct-10","S","S","N",19.3017009,-99.1670152
"DISTRITO FEDERAL","TLALPAN","E10328",114448,"SERVICIO EL NUEVO PEDREGAL, S.A. DE C.V.","CALLE ORIENTE NO. 12 MZ. 34 LT. 30","ISIDRO FABELA","14030","56462684","liesyeza@yahoo.com","20-Aug-10","S","S","S",19.3476772,-99.1089525
